Facility Id,State,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,Reporting_Year,2021 Total reported direct emissions,2020 Total reported direct emissions
1013701,TX,211130.0,"C,PP,RR (RPT),W-PROC","Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2",44170.546,43895.8,259.25,15.496,,,,,,,,,,27874.396,,,,,,,,,,,,,,,,,,,16296.15,,,,,,,,,,,,,,,,,,N,N,N,2023,26054.986,31276.214
1012037,WY,213112.0,"C,W-PROC",Petroleum and Natural Gas Systems,61389.032,58078.3,3278.25,32.482,,,,,,,,,,55537.34,,,,,,,,,,,,,,,,,,,5851.692,,,,,,,,,,,,,,,,,,N,N,N,2023,59458.73,72243.536
1010475,TX,211130.0,"C,W-PROC",Petroleum and Natural Gas Systems,38738.508,38053.6,663.75,21.158,,,,,,,,,,36776.912,,,,,,,,,,,,,,,,,,,1961.596,,,,,,,,,,,,,,,,,,N,N,N,2023,34980.124,32709.48
1003129,TX,211130.0,"C,PP,W-PROC","Petroleum and Natural Gas Systems,Suppliers of CO2",39758.102,39504.3,231.75,22.052,,,,,,,,,,38867.104,,,,,,,,,,,,,,,,,,,890.998,,,,,,,,,,,,,,,,,,N,N,N,2023,39876.8,36973.562
1005887,TX,211130.0,"C,W-PROC",Petroleum and Natural Gas Systems,48988.056,46801.0,2180.5,6.556,,,,,,,,,,11753.756,,,,,,,,,,,,,,,,,,,37234.3,,,,,,,,,,,,,,,,,,N,N,N,2023,49188.956,43989.846
1007496,TX,211130.0,"C,W-PROC",Petroleum and Natural Gas Systems,42329.308,37589.4,4718.75,21.158,,,,,,,,,,37601.908,,,,,,,,,,,,,,,,,,,4727.4,,,,,,,,,,,,,,,,,,N,N,N,2023,43872.89,41699.848
1004377,TX,562212.0,HH,Waste,288301.75,0.0,288301.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288301.75,,,,N,N,N,2023,314493.75,504064.0
1010040,KY,212115.0,FF,Other,122326.75,0.0,122326.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122326.75,,,,,,N,N,N,2023,112348.75,144097.5
1001155,IN,325199.0,C,Chemicals,64807.356,64740.5,30.5,36.356,,,,,,,,,,64807.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,64820.056,65868.284
1000112,NY,221112.0,"C,D",Power Plants,31916.132,31883.8,14.75,17.582,,,,,,,,,,79.0,31837.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,46081.78,60819.7
1003742,IL,562212.0,"C,HH",Waste,29263.95,248.7,29015.25,0.0,,,,,,,,,,248.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29015.25,,,,N,N,N,2023,7750.748,100500.948
1003188,TX,326113.0,"C,N",Minerals,22883.364,22859.8,10.75,12.814,,,,,,,,,,22833.164,,,,,,,,,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,28243.244,29359.64
1005043,MN,541715.0,C,Other,77908.786,77824.5,37.5,46.786,,,,,,,,,,77908.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,82787.508,82308.238
1003739,AL,326113.0,"C,N",Minerals,30098.14,30068.0,13.75,16.39,,,,,,,,,,29071.94,,,,,,,,,1026.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,31129.936,27083.0
1007698,WI,212313.0,C,Other,35940.864,35903.6,17.0,20.264,,,,,,,,,,35940.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,41219.744,46909.124
1006665,IL,325998.0,"C,L,OO","Chemicals,Industrial Gas Suppliers",637396.821,35019.1,17.0,21.158,9037.003,540117.949,,,45267.44,4595.481,1.69,3320.0,,35057.258,,,,,,,,602339.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,687525.6494,656992.8434
1004836,MN,325998.0,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals",20824.978,18687.4,8.75,10.728,370.0,,,,700.0,8.1,,1040.0,,18266.178,,,,,,,,2118.1,440.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,63760.311227,48361.760885
1004206,AL,325211.0,"C,L,OO","Chemicals,Industrial Gas Suppliers",37564.427924,36527.7,17.25,21.158,37.0,,,,,,1.319924,960.0,,36566.108,,,,,,,,998.319924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,45773.58156,44016.264024
1003408,AR,327999.0,C,Minerals,32128.98,32096.1,15.0,17.88,,,,,,,,,,32128.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,32655.028,33733.426
1004914,MN,326199.0,C,Other,53952.548,53897.2,25.25,30.098,,,,,,,,,,53952.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,36926.26,39808.0
1004804,MO,326113.0,C,Other,31394.032,31361.7,14.75,17.582,,,,,,,,,,31394.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,34006.772,31562.832
1013282,NC,327999.0,C,Minerals,27050.748,27022.8,12.75,15.198,,,,,,,,,,27050.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,29339.24,26496.1
1001106,MI,221112.0,"C,D",Power Plants,39263.556,39224.1,18.0,21.456,,,,,,,,,,101.6,39161.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,38254.66,49160.668
1004680,FL,562212.0,HH,Waste,53834.0,0.0,53834.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53834.0,,,,N,N,N,2023,60334.5,63873.5
1000766,NY,221330.0,C,Power Plants,174671.338,174480.5,84.75,106.088,,,,,,,,,,174671.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,180185.666,149968.982
